Date,TATAMOTORS.NS
2020-06-17,95.4000015258789
2020-06-18,96.3499984741211
2020-06-19,102.5
2020-06-22,102.6500015258789
2020-06-23,104.4000015258789
2020-06-24,104.80000305175781
2020-06-25,103.80000305175781
2020-06-26,101.4000015258789
2020-06-29,99.44999694824219
2020-06-30,98.25
2020-07-01,100.75
2020-07-02,101.55000305175781
2020-07-03,103.44999694824219
2020-07-06,109.0
2020-07-07,109.05000305175781
2020-07-08,105.3499984741211
2020-07-09,106.94999694824219
2020-07-10,107.5999984741211
2020-07-13,108.0
2020-07-14,105.1500015258789
2020-07-15,103.19999694824219
2020-07-16,102.94999694824219
2020-07-17,106.4000015258789
2020-07-20,105.05000305175781
2020-07-21,108.44999694824219
2020-07-22,105.1500015258789
2020-07-23,106.05000305175781
2020-07-24,103.75
2020-07-27,101.69999694824219
2020-07-28,106.44999694824219
2020-07-29,105.75
2020-07-30,103.6500015258789
2020-07-31,104.6500015258789
2020-08-03,113.05000305175781
2020-08-04,111.44999694824219
2020-08-05,115.4000015258789
2020-08-06,116.80000305175781
2020-08-07,119.0999984741211
2020-08-10,123.8499984741211
2020-08-11,122.30000305175781
2020-08-12,125.3499984741211
2020-08-13,131.14999389648438
2020-08-14,124.5999984741211
2020-08-17,123.55000305175781
2020-08-18,125.5999984741211
2020-08-19,125.1500015258789
2020-08-20,121.69999694824219
2020-08-21,120.9000015258789
2020-08-24,121.19999694824219
2020-08-25,127.0999984741211
2020-08-26,137.89999389648438
2020-08-27,144.25
2020-08-28,142.8000030517578
2020-08-31,143.1999969482422
2020-09-01,143.8000030517578
2020-09-02,150.3000030517578
2020-09-03,151.85000610351562
2020-09-04,147.8000030517578
2020-09-07,149.39999389648438
2020-09-08,142.3000030517578
2020-09-09,140.10000610351562
2020-09-10,143.3000030517578
2020-09-11,144.3000030517578
2020-09-14,148.5500030517578
2020-09-15,148.39999389648438
2020-09-16,151.4499969482422
2020-09-17,147.64999389648438
2020-09-18,147.89999389648438
2020-09-21,137.4499969482422
2020-09-22,133.10000610351562
2020-09-23,131.39999389648438
2020-09-24,122.80000305175781
2020-09-25,127.25
2020-09-28,132.85000610351562
2020-09-29,131.6999969482422
2020-09-30,133.3000030517578
2020-10-01,133.5
2020-10-05,133.89999389648438
2020-10-06,144.75
2020-10-07,141.0
2020-10-08,140.9499969482422
2020-10-09,138.4499969482422
2020-10-12,135.89999389648438
2020-10-13,134.10000610351562
2020-10-14,130.6999969482422
2020-10-15,126.94999694824219
2020-10-16,127.75
2020-10-19,128.25
2020-10-20,129.64999389648438
2020-10-21,130.25
2020-10-22,133.5
2020-10-23,137.0
2020-10-26,133.6999969482422
2020-10-27,135.64999389648438
2020-10-28,134.8000030517578
2020-10-29,131.89999389648438
2020-10-30,132.64999389648438
2020-11-02,132.85000610351562
2020-11-03,134.10000610351562
2020-11-04,135.89999389648438
2020-11-05,137.64999389648438
2020-11-06,139.0
2020-11-09,141.0
2020-11-10,146.0
2020-11-11,150.9499969482422
2020-11-12,151.1999969482422
2020-11-13,146.35000610351562
2020-11-17,158.0
2020-11-18,173.5
2020-11-19,167.9499969482422
2020-11-20,169.10000610351562
2020-11-23,170.6999969482422
2020-11-24,172.0500030517578
2020-11-25,171.4499969482422
2020-11-26,173.75
2020-11-27,180.35000610351562
2020-12-01,179.75
2020-12-02,183.60000610351562
2020-12-03,184.85000610351562
2020-12-04,184.14999389648438
2020-12-07,183.5500030517578
2020-12-08,181.8000030517578
2020-12-09,182.6999969482422
2020-12-10,177.60000610351562
2020-12-11,178.85000610351562
2020-12-14,177.64999389648438
2020-12-15,178.89999389648438
2020-12-16,182.5500030517578
2020-12-17,181.6999969482422
2020-12-18,180.5500030517578
2020-12-21,164.5500030517578
2020-12-22,164.9499969482422
2020-12-23,169.1999969482422
2020-12-24,175.9499969482422
2020-12-28,186.35000610351562
2020-12-29,183.4499969482422
2020-12-30,184.14999389648438
2020-12-31,183.85000610351562
2021-01-01,186.5
2021-01-04,191.3000030517578
2021-01-05,193.1999969482422
2021-01-06,195.39999389648438
2021-01-07,196.75
2021-01-08,198.14999389648438
2021-01-11,220.64999389648438
2021-01-12,237.8000030517578
2021-01-13,242.60000610351562
2021-01-14,245.10000610351562
2021-01-15,260.29998779296875
2021-01-18,245.9499969482422
2021-01-19,258.6499938964844
2021-01-20,274.8999938964844
2021-01-21,290.6000061035156
2021-01-22,289.3500061035156
2021-01-25,279.1499938964844
2021-01-27,267.5
2021-01-28,266.79998779296875
2021-01-29,262.70001220703125
2021-02-01,279.6000061035156
2021-02-02,322.0
2021-02-03,331.0
2021-02-04,326.1499938964844
2021-02-05,315.8999938964844
2021-02-08,335.95001220703125
2021-02-09,325.04998779296875
2021-02-10,328.8999938964844
2021-02-11,325.0
2021-02-12,325.3999938964844
2021-02-15,333.3500061035156
2021-02-16,329.20001220703125
2021-02-17,330.1499938964844
2021-02-18,323.8500061035156
2021-02-19,311.8500061035156
2021-02-22,304.5
2021-02-23,324.0
2021-02-24,321.6499938964844
2021-02-25,333.1499938964844
2021-02-26,322.95001220703125
2021-03-01,328.29998779296875
2021-03-02,345.75
2021-03-03,348.5
2021-03-04,339.20001220703125
2021-03-05,325.1499938964844
2021-03-08,321.25
2021-03-09,315.20001220703125
2021-03-10,321.45001220703125
2021-03-12,317.54998779296875
2021-03-15,318.54998779296875
2021-03-16,319.95001220703125
2021-03-17,305.79998779296875
2021-03-18,307.0
2021-03-19,308.95001220703125
2021-03-22,303.04998779296875
2021-03-23,307.3999938964844
2021-03-24,294.45001220703125
